 GroupIndex,Value
1, 1.1474100E-10
2, 2.6486998E-10
3, 8.8689198E-10
4, 2.8051689E-09
5, 8.9081255E-09
6, 2.8045849E-08
7, 8.8708480E-08
8, 2.8172260E-07
9, 8.8709467E-07
10, 2.8064689E-06
11, 8.9149396E-06
12, 2.8075418E-05
13, 8.8806050E-05
14, 2.8185129E-04
15, 8.8578408E-04
16, 2.8047270E-03
17, 8.7809206E-03
18, 2.2807359E-02
19, 6.0659399E-02
20, 1.4403690E-01
21, 2.0776270E-01
22, 2.7798458E-01
23, 1.7918939E-01
24, 8.0440787E-02
25, 1.4235699E-02
