 GroupIndex,Value
1, 8.3707304E-10
2, 5.8557248E-10
3, 4.2373622E-10
4, 3.4943478E-10
5, 3.0574700E-09
6, 6.8966257E-09
7, 8.0642083E-10
8, 1.6739617E-09
9, 1.3611675E-09
10, 1.9822528E-09
11, 5.8570032E-08
12, 3.0401174E-08
13, 1.0785473E-12
14, 1.0238955E-08
15, 9.9044589E-09
16, 5.5733050E-09
17, 6.0370876E-09
18, 1.0101867E-08
19, 2.1971334E-08
20, 1.4994767E-07
21, 3.9953333E-06
22, 5.4757742E-05
23, 6.9191947E-05
24, 7.5591987E-05
25, 1.5287221E-04
