 GroupIndex,Value
1, 6.4377539E-02
2, 6.4180894E-02
3, 6.4087895E-02
4, 6.4035121E-02
5, 6.6889385E-02
6, 6.5610322E-02
7, 6.5725748E-02
8, 6.4551075E-02
9, 6.5664404E-02
10, 6.4456266E-02
11, 6.4593126E-02
12, 6.4499232E-02
13, 6.4363524E-02
14, 6.4018511E-02
15, 6.3694800E-02
16, 6.3014313E-02
17, 6.1693632E-02
18, 5.9356598E-02
19, 6.0799637E-02
20, 6.8739257E-02
21, 6.0428877E-02
22, 2.4838547E-02
23, 2.8005430E-02
24, 2.2897270E-02
25, 1.9276465E-02
