 LegendreIndex,FromIndex,ToIndex,Value
1,25,13, 1.4362809E-07
1,25,14, 5.0864952E-07
1,25,15, 1.6123926E-06
1,25,16, 5.5391961E-06
1,25,17, 2.0619913E-05
1,25,18, 7.6515586E-05
1,25,19, 2.2045259E-04
1,25,20, 6.4889535E-04
1,25,21, 1.1106481E-03
1,25,22, 1.3794814E-03
1,25,23, 5.2930639E-04
1,25,24, 4.1863056E-03
1,25,25, 8.5800700E-03
2,1,1, 2.6883435E-03
2,2,1,-3.0616757E-03
2,2,2, 5.7422845E-03
2,3,2,-3.0583242E-03
2,3,3, 5.7354926E-03
2,4,3,-3.0566158E-03
2,4,4, 5.7320435E-03
2,5,4,-3.0556497E-03
2,5,5, 5.7304606E-03
2,6,5,-3.0555587E-03
2,6,6, 5.7302728E-03
2,7,6,-3.0580019E-03
2,7,7, 5.7333853E-03
2,8,7,-1.8827659E-03
2,8,8, 4.5557833E-03
2,9,8,-1.5202743E-03
2,9,9, 4.1935196E-03
2,10,9,-1.7581246E-03
2,10,10, 4.4263248E-03
2,11,10,-2.0773450E-03
2,11,11, 4.7386400E-03
2,12,11,-2.1322050E-03
2,12,12, 4.7778297E-03
2,13,12,-2.6654010E-03
2,13,13, 5.2788723E-03
2,14,13,-2.6772279E-03
2,14,14, 5.2184868E-03
2,15,14,-2.7636346E-03
2,15,15, 5.1507268E-03
2,16,4, 1.5318918E-13
2,16,5, 6.8938893E-13
2,16,6, 3.1542550E-12
2,16,7, 1.4533085E-11
2,16,8, 6.7228719E-11
2,16,9, 3.1103759E-10
2,16,10, 1.4387946E-09
2,16,11, 6.6369614E-09
2,16,12, 5.9012788E-09
2,16,15,-2.7642095E-03
2,16,16, 4.8082016E-03
2,17,12, 2.0435983E-08
2,17,13, 1.1355779E-07
2,17,14, 4.8095316E-07
2,17,15, 1.8701109E-06
2,17,16,-2.9861648E-03
2,17,17, 4.2687628E-03
2,18,8, 6.6188104E-14
2,18,9, 3.0547208E-13
2,18,10, 1.4130793E-12
2,18,11, 6.5573477E-12
2,18,12, 3.6129646E-11
2,18,13, 1.8821777E-10
2,18,14, 9.0016838E-10
2,18,15, 4.6083923E-09
2,18,16, 2.4920021E-08
2,18,17,-3.4380226E-03
2,18,18, 2.9058944E-03
2,19,9, 5.3796273E-14
2,19,10, 2.4829492E-13
2,19,11, 1.1482384E-12
2,19,12, 4.6721706E-12
2,19,13, 1.1417342E-11
2,19,14, 2.7416551E-11
2,19,15, 7.3006004E-11
2,19,16, 2.8097583E-10
2,19,17, 1.5322707E-07
2,19,18,-4.6215048E-03
2,19,19,-1.8381718E-03
2,20,5, 4.9997922E-14
2,20,6, 3.8103369E-13
2,20,7, 1.5174569E-12
2,20,8, 5.8554989E-12
2,20,9, 2.4735065E-11
2,20,10, 1.0946072E-10
2,20,11, 4.9507548E-10
2,20,12, 2.0684652E-09
2,20,13, 8.6314183E-09
2,20,14, 3.4998598E-08
2,20,15, 1.1711567E-07
2,20,16, 3.3843696E-07
2,20,17, 9.0032197E-07
2,20,18, 2.9613300E-07
2,20,19,-1.0139941E-03
2,20,20, 1.6578009E-02
2,21,5, 1.8078836E-13
2,21,6, 9.6611106E-13
2,21,7, 4.8607380E-12
2,21,8, 2.0197466E-11
2,21,9, 8.7968763E-11
2,21,10, 3.9318061E-10
2,21,11, 1.6846314E-09
2,21,12, 6.1007761E-09
2,21,13, 2.1714680E-08
2,21,14, 7.8533393E-08
2,21,15, 2.7889550E-07
2,21,16, 1.0317401E-06
2,21,17, 3.8855813E-06
2,21,18, 1.3344651E-05
2,21,19, 2.2987254E-05
2,21,20,-3.6641311E-03
2,21,21, 8.8179324E-03
2,22,3, 7.8520759E-14
2,22,4, 3.4509803E-13
2,22,5, 1.3148072E-12
2,22,6, 4.4465833E-12
2,22,7, 1.4676779E-11
2,22,8, 4.3523552E-11
2,22,9, 1.3775352E-10
2,22,10, 4.3662088E-10
2,22,11, 1.3829737E-09
2,22,12, 4.3739151E-09
2,22,13, 1.3851115E-08
2,22,14, 4.3868866E-08
2,22,15, 1.3890593E-07
2,22,16, 4.5319198E-07
2,22,17, 1.8746629E-06
2,22,18, 6.2668225E-06
2,22,19, 2.2258259E-05
2,22,20, 5.0122138E-05
2,22,21,-1.2723883E-03
2,22,22, 3.9269279E-03
2,23,3, 6.1962999E-14
2,23,4, 2.8760892E-13
2,23,5, 1.3327274E-12
2,23,6, 5.2823326E-12
2,23,7, 1.7536407E-11
2,23,8, 5.5622274E-11
2,23,9, 1.7120212E-10
2,23,10, 5.4287434E-10
2,23,11, 1.7188558E-09
2,23,12, 5.4358227E-09
