 GroupIndex,Value
1, 5.6522804E-03
2, 2.3401848E-03
3, 1.2722294E-03
4, 6.1745263E-04
5, 1.5583102E-03
6, 1.5883884E-03
7, 1.4433462E-03
8, 1.0717068E-03
9, 7.0372708E-04
10, 5.4135053E-04
11, 3.7583568E-04
12, 2.4711992E-04
13, 1.7726557E-04
14, 1.2173644E-04
15, 9.3489785E-05
16, 7.4153315E-05
17, 6.1517658E-05
18, 5.2653944E-05
19, 4.6778961E-05
20, 5.0455911E-05
21, 2.8771985E-04
22, 3.2564310E-03
23, 3.8965338E-03
24, 3.8747395E-03
25, 6.7640346E-03
