 LegendreIndex,FromIndex,ToIndex,Value
1,24,4, 3.7444644E-11
1,24,5, 1.7380231E-10
1,24,6, 7.9226405E-10
1,24,7, 2.7681574E-09
1,24,8, 9.0750982E-09
1,24,9, 2.7815290E-08
1,24,10, 8.7870773E-08
1,24,11, 2.7765418E-07
1,24,12, 8.7793178E-07
1,24,13, 2.7783498E-06
1,24,14, 8.7852565E-06
1,24,15, 2.7805095E-05
1,24,16, 9.3967412E-05
1,24,17, 3.9290400E-04
1,24,18, 1.2832804E-03
1,24,19, 3.4207637E-03
1,24,20, 5.7078882E-03
1,24,21, 4.0735638E-03
1,24,22, 1.7389815E-03
1,24,23, 6.7018925E-03
1,24,24, 4.9670713E-02
1,25,4, 1.6998736E-11
1,25,5, 3.7735119E-11
1,25,6, 1.3056830E-10
1,25,7, 3.4788299E-10
1,25,8, 1.0290571E-09
1,25,9, 2.8474655E-09
1,25,10, 8.2531403E-09
1,25,11, 2.4601395E-08
1,25,12, 7.4669879E-08
1,25,13, 2.3072352E-07
1,25,14, 7.8402248E-07
1,25,15, 2.4844873E-06
1,25,16, 8.2981382E-06
1,25,17, 3.1630386E-05
1,25,18, 1.2441086E-04
1,25,19, 4.4908097E-04
1,25,20, 1.6129679E-03
1,25,21, 3.0588967E-03
1,25,22, 3.6878972E-03
1,25,23, 1.4016569E-03
1,25,24, 5.5406376E-03
1,25,25, 3.3713165E-02
2,1,1, 2.8753940E-03
2,2,1,-3.3008019E-03
2,2,2, 6.1672419E-03
2,3,2,-3.2944684E-03
2,3,3, 6.1546594E-03
2,4,3,-3.2864515E-03
2,4,4, 6.1359308E-03
2,5,4,-3.3704730E-03
2,5,5, 6.2232719E-03
2,6,5,-3.2741793E-03
2,6,6, 6.0987767E-03
2,7,6,-3.2028351E-03
2,7,7, 6.0594295E-03
2,8,7,-2.0330104E-03
2,8,8, 4.8816118E-03
2,9,8,-1.5365469E-03
2,9,9, 4.3997075E-03
2,10,9,-1.8916053E-03
2,10,10, 4.8111885E-03
2,11,10,-2.2434236E-03
2,11,11, 5.1272906E-03
2,12,11,-2.2932811E-03
2,12,12, 5.2059112E-03
2,13,12,-2.9077713E-03
2,13,13, 5.9370700E-03
2,14,13,-2.9280476E-03
2,14,14, 6.1513757E-03
2,15,5, 1.5431473E-13
2,15,6, 7.1487171E-13
2,15,7, 3.3125408E-12
2,15,8, 1.5339093E-11
2,15,9, 7.0895554E-11
2,15,10, 3.2609384E-10
2,15,11, 1.4856995E-09
2,15,12, 6.5743606E-09
2,15,13, 2.5187177E-08
2,15,14,-3.0271273E-03
2,15,15, 6.7450669E-03
2,16,4, 2.4037064E-11
2,16,5, 1.0817135E-10
2,16,6, 4.9378298E-10
2,16,7, 2.2701274E-09
2,16,8, 1.0500906E-08
2,16,9, 4.8583051E-08
2,16,10, 2.2473500E-07
2,16,11, 1.0366716E-06
2,16,12, 9.2176041E-07
2,16,14, 2.3309151E-08
2,16,15,-3.0435420E-03
2,16,16, 7.9848075E-03
2,17,1, 1.1665773E-13
2,17,2, 2.4461991E-13
2,17,3, 6.9231885E-13
2,17,4, 1.5616142E-12
2,17,5, 3.4310080E-12
2,17,6, 8.6743038E-12
2,17,7, 2.6621803E-11
2,17,8, 8.5514414E-11
2,17,9, 3.1373812E-10
2,17,10, 1.3080879E-09
2,17,11, 5.9543909E-09
2,17,12, 3.2192234E-06
2,17,13, 1.7856069E-05
2,17,14, 7.5531434E-05
2,17,15, 2.9325306E-04
2,17,16,-2.3348381E-03
2,17,17, 1.0563002E-02
2,18,6, 6.9006010E-13
2,18,7, 3.5876301E-12
2,18,8, 2.7622640E-11
