 GroupIndex,Value
1, 1.1415999E-10
2, 2.6352878E-10
3, 8.8240110E-10
4, 2.7909646E-09
5, 8.8630182E-09
6, 2.8038901E-08
7, 8.8686440E-08
8, 2.8164682E-07
9, 8.8687375E-07
10, 2.8057644E-06
11, 8.9125051E-06
12, 2.8068266E-05
13, 8.8783140E-05
14, 2.8177228E-04
15, 8.8555198E-04
16, 2.8039070E-03
17, 8.7782736E-03
18, 2.2800766E-02
19, 6.0641629E-02
20, 1.4399850E-01
21, 2.0772076E-01
22, 2.7797153E-01
23, 1.7923274E-01
24, 8.0496229E-02
25, 1.4258472E-02
