 GroupIndex,Value
1, 9.5798000E+05
2, 3.9605914E+05
3, 2.1566331E+05
4, 1.0444494E+05
5, 2.6217511E+05
6, 2.6569833E+05
7, 2.4301537E+05
8, 1.8090303E+05
9, 1.1885835E+05
10, 9.1628492E+04
11, 6.3512326E+04
12, 4.1814870E+04
13, 3.0003346E+04
14, 2.0604641E+04
15, 1.5833117E+04
16, 1.2584310E+04
17, 1.0466750E+04
18, 8.9079579E+03
19, 7.9369783E+03
20, 8.5163177E+03
21, 5.0450767E+04
22, 5.5233755E+05
23, 6.6911878E+05
24, 6.9128743E+05
25, 1.1646518E+06
